Name,Team,Attack Points,Attack Errors,Attack Attempts,Block Points,Block Errors,Rebounds,Serve Points,Serve Errors,Serve Attempts,Successful Sets,Set Errors,Set Attempts,Spike Digs,Dig Errors,Successful Receives,Receive Errors,Receive Attempts
Stefanović,SRB,5,0,2,3,2,6,0,1,8,0,0,0,1,0,0,0,1
Strehlau,FRA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Synytsia,UKR,2,1,1,1,3,3,2,4,22,46,2,111,4,2,0,0,1
Szalpuk,POL,83,25,79,12,16,17,3,18,69,2,1,27,30,22,34,14,123
Szymura,POL,25,9,23,4,5,11,2,7,31,0,0,14,8,6,22,4,46
T. Štern,SLO,59,29,54,7,12,26,6,17,56,0,0,8,17,9,0,0,1
Tatarov,BUL,4,4,7,4,6,0,1,3,14,0,0,4,5,1,2,2,16
Telkiyski,BUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tevkun,UKR,1,0,3,0,1,0,0,0,1,0,0,1,0,1,0,0,0
Thiago,CUB,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiery,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thondike,CUB,4,3,6,6,9,10,2,12,36,94,2,239,10,11,0,0,2
Tille,GER,0,0,0,0,1,4,0,3,14,29,1,56,2,1,0,0,0
Tizi-Oualou,FRA,17,3,5,7,20,17,5,24,53,200,3,317,16,11,0,0,3
Todorović,SRB,5,0,2,3,12,9,2,7,59,129,1,319,29,13,0,2,0
Todua,UKR,15,4,14,15,27,25,1,17,42,1,0,5,12,5,0,0,13
Tomita,JPN,41,13,36,1,10,7,6,14,60,0,1,22,19,7,42,5,56
Torwie,GER,31,9,21,22,37,41,7,33,85,0,0,4,14,10,2,1,13
Tuinstra,NED,79,42,76,2,7,8,6,19,78,2,0,19,17,18,41,9,91
Tümer,TUR,3,0,0,0,4,2,0,4,5,0,0,0,0,0,1,0,0
Tupchii,UKR,99,28,73,10,19,21,11,28,99,2,0,11,28,12,0,0,0
Urnaut,SLO,23,12,17,3,2,1,2,3,27,0,0,12,8,6,4,2,45
Uryvkin,UKR,2,0,3,0,0,1,0,1,1,0,0,0,1,0,0,0,0
Van Der Ent,NED,52,8,27,18,26,30,2,18,75,0,0,6,8,5,2,0,5
Varga,CAN,32,13,42,3,9,12,4,14,29,0,0,6,10,11,23,6,42
Vicentin,ARG,46,29,37,10,8,10,4,13,43,0,0,18,29,12,42,7,99
Vinčić,SLO,0,0,0,0,4,3,0,0,8,38,2,52,6,3,0,0,0
Wang B.,CHN,30,17,38,2,6,1,3,9,33,0,0,6,9,14,8,8,58
Wang H.B.,CHN,0,0,0,0,3,3,3,0,48,54,2,159,4,13,0,0,0
Wassenaar Ketrzynski,CAN,75,20,54,6,8,12,8,13,50,0,0,10,16,17,2,1,8
Wen Z. H.,CHN,55,25,46,4,13,11,1,7,35,0,0,10,10,12,0,0,2
Wijkstra,NED,1,1,2,1,2,0,0,1,0,0,0,1,0,0,0,0,5
Wiltenburg,NED,15,3,8,17,19,26,2,9,48,1,0,3,4,2,1,1,3
Yamazaki,JPN,25,10,33,1,5,5,4,12,24,0,0,4,8,3,12,2,42
Yanchuk,UKR,100,32,91,6,20,15,11,27,79,1,0,20,25,9,21,14,139
Yant,CUB,125,46,98,14,25,25,10,23,104,3,1,18,43,13,38,3,136
Yenipazar,TUR,3,2,9,6,13,20,2,19,82,183,0,366,36,21,0,1,0
Yevstratov,UKR,0,0,3,2,2,4,1,0,20,30,0,52,5,4,0,0,0
Young,CAN,40,14,36,4,14,2,4,12,33,1,1,13,20,7,18,6,76
Yousef,IRI,12,4,12,6,15,8,1,5,23,0,1,5,4,2,1,0,2
Yu Y.C.,CHN,4,1,4,3,9,11,1,4,48,129,1,255,19,7,0,0,2
Yu Y.T.,CHN,55,17,56,2,13,9,3,13,62,0,1,20,20,9,23,10,102
Yüksel,TUR,3,5,8,0,7,5,0,3,8,0,0,2,2,1,2,1,7
Z. Štern,SLO,17,5,12,0,6,6,3,4,18,1,0,7,8,4,3,1,24
Zaleszczyk,POL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zerba,ARG,24,1,14,5,16,12,7,11,58,0,0,3,7,4,3,0,2
Zhai D.J.,CHN,19,6,23,1,2,2,0,8,17,0,0,9,6,8,5,7,28
Zhang Z.J.,CHN,21,2,3,5,14,17,0,4,25,0,0,8,3,1,0,0,0
Zhelev,BUL,0,0,0,0,0,0,0,0,0,0,0,7,20,15,0,0,2
Zimmermann,GER,4,0,4,7,9,34,2,9,105,200,0,450,39,24,0,1,2
